image_path category_id
img/Pintucked_Button-Down_Blouse/img_00000011.jpg 3
img/Menagerie_Print_Tee/img_00000016.jpg 18
img/Woven_Leggings/img_00000012.jpg 30
img/High-Waisted_Cargo_Joggers/img_00000057.jpg 29
img/Easy_Chino_Shorts/img_00000051.jpg 32
img/Abstract_Print_Zipper_Blouse/img_00000093.jpg 3
img/Floral_Lace-Paneled_Tee/img_00000021.jpg 18
img/Chiffon-Paneled_Tank/img_00000016.jpg 17
img/Layered_Eyelet_Dress/img_00000041.jpg 41
img/Floral_Print_Racerback_Tank/img_00000004.jpg 17
img/Paris_Graphic_Tee/img_00000063.jpg 18
img/London_Calling_Knit_Tee/img_00000034.jpg 18
img/Nautical-Striped_Cotton_Tee/img_00000034.jpg 18
img/Pintucked_Chiffon_Blouse/img_00000023.jpg 3
img/NYC_Tee/img_00000021.jpg 18
img/Two-Tone_Open-Front_Cardigan/img_00000010.jpg 6
img/The_Beatles_Muscle_Tee/img_00000043.jpg 18
img/Southwestern_Print_Poncho/img_00000052.jpg 15
img/Drop-Sleeve_V-Neck_Sweater/img_00000049.jpg 16
img/Split-Back_Pleated_Blouse/img_00000115.jpg 3
img/Fox_Print_Tee/img_00000056.jpg 18
img/Oversized_High-Neck_Sweater/img_00000078.jpg 16
img/Elephant_Print_Pocket_Tank/img_00000016.jpg 17
img/Cable_Knit_Cardigan/img_00000086.jpg 6
img/Snoopy_Print_Tee/img_00000038.jpg 18
img/Cutout_Bow_Blouse/img_00000022.jpg 3
img/Tie-Dye_Cover-Up_Skirt/img_00000003.jpg 33
img/Paisley_Print_Buttoned_Tank/img_00000028.jpg 17
img/LA_Longline_Baseball_Tee/img_00000005.jpg 18
img/Sheer_Linen_Tank/img_00000018.jpg 17
img/Floral-Embroidered_Halter_Romper/img_00000015.jpg 48
img/Cami_Peplum_Top/img_00000039.jpg 19
img/Lace_Shift_Dress/img_00000081.jpg 41
img/Cotton-Blend_Henley/img_00000054.jpg 9
img/Embroidered_Woven_Dress/img_00000053.jpg 41
img/Mesh-Paneled_T-Shirt_Dress/img_00000001.jpg 41
img/Colorblocked_Popover_Shirt_Dress/img_00000024.jpg 41
img/Audrey_Graphic_Tee/img_00000049.jpg 18
img/Textured_Baroque_Floral_Shorts/img_00000006.jpg 32
img/Open-Back_Blouse/img_00000004.jpg 3
img/Knotted_Lace_Tank/img_00000023.jpg 17
img/Cropped_Faux_Fur_Jacket/img_00000032.jpg 11
img/Destroyed_Denim_Shorts/img_00000044.jpg 32
img/Tell_Me_I'm_Pretty_Graphic_Tee/img_00000067.jpg 18
img/Draped_Tribal_Pattern_Cardigan/img_00000044.jpg 6
img/Abstract_Paisley_Button-Down_Top/img_00000017.jpg 19
img/Tribal_Print_Leggings/img_00000029.jpg 30
img/Paisley_High-Slit_Maxi_Dress/img_00000025.jpg 41
img/Collarless_A-Line_Boucl&eacute;_Coat/img_00000029.jpg 39
img/Metallic_Wrap_Skirt/img_00000051.jpg 33
img/Mesh_Panel_Tank/img_00000017.jpg 17
img/Folk_Print_Linen_Skirt/img_00000018.jpg 33
img/Polka_Dot_Cropped_Blouse/img_00000125.jpg 3
img/Lace_Patterned_Sweater/img_00000036.jpg 16
img/Dolman_Sleeve_Hoodie/img_00000066.jpg 10
img/Cap-Sleeved_Lace_Blouse/img_00000027.jpg 3
img/Layered_Woven_Romper/img_00000020.jpg 48
img/Ruffled_Cami_Dress/img_00000041.jpg 41
img/Textured_High-Neck_Blouse/img_00000037.jpg 3
img/Geo_Print_Dolman_Tee/img_00000029.jpg 18
img/Waffle_Knit_Turtleneck_Sweater/img_00000032.jpg 16
img/Classic_Single-Button_Blazer/img_00000101.jpg 2
img/Abstract_Chevron_Surplice_Dress/img_00000022.jpg 41
img/Perfect_Pleats_Shift_Dress/img_00000044.jpg 41
